# nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf303 HL- 2.393602e-01 2.085206e+00 3.719936e-01 1.089452e+00 1.085494e+01 
 Rf304 HL- 2.207174e-01 1.983722e+00 3.400654e-01 1.024138e+00 9.129408e+00 
 Rf305 HL- 1.859462e-01 1.686043e+00 2.833267e-01 8.935770e-01 7.341944e+00 
 Rf306 HL- 1.571004e-01 1.376874e+00 2.418859e-01 7.434910e-01 6.254460e+00 
 Rf307 HL- 1.300095e-01 1.108597e+00 2.003634e-01 6.234517e-01 5.133403e+00 
 Rf308 HL- 1.155276e-01 1.001643e+00 1.779769e-01 5.514093e-01 4.437768e+00 
 Rf309 HL- 9.341599e-02 8.572639e-01 1.443737e-01 4.267675e-01 3.722511e+00 
 Rf310 HL- 8.594755e-02 7.530037e-01 1.325246e-01 4.080172e-01 3.222233e+00 
 Rf311 HL- 7.137928e-02 6.582773e-01 1.095453e-01 3.351265e-01 2.645778e+00 
 Rf312 HL- 6.339091e-02 5.778662e-01 9.784314e-02 2.942694e-01 2.347737e+00 
 Rf313 HL- 4.509731e-02 5.267165e-01 6.768881e-02 2.019639e-01 1.815392e+00 
 Rf314 HL- 4.578641e-02 4.411443e-01 7.061824e-02 2.073602e-01 1.693379e+00 
 Rf315 HL- 3.686595e-02 3.897213e-01 5.624197e-02 1.648414e-01 1.403285e+00 
 Rf316 HL- 3.425609e-02 3.267830e-01 5.291664e-02 1.550554e-01 1.274207e+00 
 Rf317 HL- 2.959116e-02 2.743069e-01 4.588168e-02 1.348199e-01 1.068575e+00 
 Rf318 HL- 2.709270e-02 2.379479e-01 4.203306e-02 1.263949e-01 9.948247e-01 
 Rf319 HL- 2.353205e-02 2.089318e-01 3.624534e-02 1.114733e-01 8.707239e-01 
 Rf320 HL- 2.158571e-02 1.820807e-01 3.322317e-02 1.055420e-01 7.933374e-01 
 Rf321 HL- 1.879782e-02 1.626438e-01 2.866843e-02 9.292405e-02 7.111414e-01 
 Rf322 HL- 1.716578e-02 1.457517e-01 2.601062e-02 8.781390e-02 6.406591e-01 
 Rf323 HL- 1.449570e-02 1.342862e-01 2.141876e-02 7.609474e-02 5.849258e-01 
 Rf324 HL- 1.374417e-02 1.192956e-01 2.059531e-02 7.177246e-02 5.296887e-01 
 Rf325 HL- 1.117516e-02 1.056203e-01 1.650701e-02 5.928496e-02 3.893624e-01 
 Rf326 HL- 1.114906e-02 8.748817e-02 1.705201e-02 6.109201e-02 3.076292e-01 
 Rf327 HL- 1.016407e-02 7.720563e-02 1.568772e-02 5.657178e-02 2.492141e-01 
 Rf328 HL- 9.344264e-03 6.654704e-02 1.455115e-02 5.368252e-02 2.155436e-01 
 Rf329 HL- 8.617561e-03 5.942478e-02 1.351351e-02 5.018687e-02 1.890881e-01 
 Rf330 HL- 8.092839e-03 5.165686e-02 1.286830e-02 4.871346e-02 1.675325e-01 
 Rf331 HL- 7.451475e-03 4.728436e-02 1.185894e-02 4.533530e-02 1.499129e-01 
 Rf332 HL- 7.007143e-03 4.113321e-02 1.129721e-02 4.412999e-02 1.384559e-01 
 Rf333 HL- 6.478772e-03 3.743108e-02 1.045623e-02 4.146138e-02 1.269216e-01 
 Rf334 HL- 6.029262e-03 3.345896e-02 9.778332e-03 3.973480e-02 1.171423e-01 
 Rf335 HL- 5.344907e-03 3.158212e-02 8.473392e-03 3.572097e-02 1.061655e-01 
 Sg286 HL- 3.154809e+03 5.856299e+03 1.012358e+04 2.130454e+04 1.990144e+06 
 Sg287 HL- 8.586555e+02 2.157430e+03 1.948564e+03 5.804591e+03 6.401587e+04 
