# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Mc276 HL+ 3.409790e-01 5.187431e+02 1.233588e+01 7.516026e+01 2.938567e+03 1.121754e+01 3.662365e-01 2.754990e+02 7.786454e+01
 Mc277 HL+ 3.927217e-01 8.870620e+02 1.514994e+01 1.109999e+02 6.377854e+03 1.548324e+01 4.176880e-01 3.395654e+02 1.194791e+02
 Mc278 HL+ 4.979359e-01 1.173028e+03 1.814663e+01 1.277131e+02 5.738371e+03 1.683728e+01 5.335032e-01 3.664536e+02 1.281495e+02
 Mc279 HL+ 6.258600e-01 2.053081e+03 2.889962e+01 1.658896e+02 9.192026e+03 2.349233e+01 6.640432e-01 4.289596e+02 1.739024e+02
 Mc280 HL+ 7.423901e-01 2.894427e+03 2.898398e+01 1.548462e+02 1.089186e+04 2.738020e+01 7.924707e-01 4.504966e+02 2.006078e+02
 Mc281 HL+ 1.031744e+00 6.370544e+03 5.928002e+01 2.472992e+02 1.905352e+04 4.613364e+01 1.085457e+00 5.525662e+02 2.982344e+02
 Mc282 HL+ 1.284808e+00 1.638910e+04 4.747210e+01 2.149326e+02 1.812465e+04 7.549041e+01 1.362084e+00 5.260538e+02 3.148963e+02
 Mc283 HL+ 1.884918e+00 4.882424e+04 1.315531e+02 3.847997e+02 3.743786e+04 1.298291e+02 1.963270e+00 7.669779e+02 5.211374e+02
 Mc284 HL+ 3.245118e+00 1.330163e+05 2.348857e+02 2.553520e+02 5.324472e+05 1.946478e+02 3.410919e+00 7.725684e+02 2.745010e+03
 Mc285 HL+ 4.210980e+00 3.333555e+05 4.115732e+02 7.039296e+02 1.660493e+05 2.935801e+02 4.371331e+00 1.280780e+03 1.504204e+03
 Mc286 HL+ 5.527036e+00 3.954527e+05 5.374055e+02 4.571644e+02 1.046230e+05 3.958733e+02 5.782128e+00 1.420696e+03 1.445386e+03
 Mc287 HL+ 1.170441e+01 1.373521e+06 1.865931e+03 4.798982e+02 1.456479e+06 6.057762e+02 1.241459e+01 2.050620e+03 7.813418e+03
 Mc288 HL+ 1.354370e+01 2.844343e+06 6.421168e+03 4.779661e+05 4.055498e+07 8.091106e+02 1.381944e+01 2.369195e+04 2.707242e+04
 Mc289 HL+ 9.314432e+01 7.965819e+06 7.576151e+04 3.105444e+04 8.537216e+08 1.137345e+03 1.023340e+02 2.748152e+04 3.393628e+05
 Mc290 HL+ 3.907930e+01 4.536620e+10 2.452315e+05 1.000000e+10 4.212714e+08 5.394573e+06 3.921459e+01 1.805983e+04 3.491435e+04
 Mc291 HL+ 9.122441e+01 7.444202e+10 1.059716e+05 3.525639e+04 1.823201e+08 1.381093e+05 9.214729e+01 1.926225e+04 7.796790e+04
 Mc292 HL+ 2.777021e+02 6.552877e+10 1.000000e+10 8.825498e+04 1.000000e+10 2.624045e+05 2.839713e+02 2.145984e+04 5.631317e+04
 Mc293 HL+ 6.295764e+02 1.000000e+10 6.104117e+07 1.000000e+10 3.178199e+09 1.893055e+08 6.309966e+02 3.119458e+05 2.880015e+06
 Mc294 HL+ 5.880926e+02 1.238126e+12 1.000000e+10 1.032830e+06 5.214994e+08 1.550398e+06 5.919347e+02 1.682025e+05 2.876392e+05
 Md241 HL+ 2.193934e+00 1.143429e+02 8.880533e+01 2.438645e+03 2.067565e+04 1.705806e+01 2.668186e+00 1.242917e+03 8.902906e+02
 Md242 HL+ 2.703403e+00 1.626741e+02 1.220693e+02 1.394875e+03 3.378719e+04 2.189555e+01 3.252401e+00 1.167830e+03 1.211248e+03
 Md243 HL+ 3.431028e+00 2.132882e+02 1.925295e+02 6.125128e+03 5.010384e+04 2.690515e+01 4.111848e+00 2.193483e+03 1.757679e+03
 Md244 HL+ 4.358993e+00 1.338064e+03 2.988238e+02 5.480996e+03 5.306037e+04 4.270988e+01 4.981792e+00 2.078956e+03 2.041185e+03
 Md245 HL+ 6.300288e+00 3.411159e+03 7.089201e+02 2.371798e+04 3.144691e+05 7.267922e+01 7.005063e+00 3.918603e+03 4.862884e+03
 Md246 HL+ 6.640883e+00 4.192817e+02 1.924982e+03 6.559167e+04 1.422133e+06 2.840841e+01 8.914911e+00 5.737659e+03 8.681952e+03
 Md247 HL+ 1.208744e+01 2.478046e+04 3.439566e+03 6.392018e+04 8.594797e+05 1.968148e+02 1.296734e+01 8.881674e+03 1.383140e+04
 Md248 HL+ 1.059122e+01 8.268171e+02 2.204083e+04 1.771538e+06 2.151684e+07 2.619131e+01 1.821735e+01 1.682563e+04 3.378920e+04
 Md249 HL+ 2.512530e+01 1.352604e+06 2.804548e+04 1.131581e+06 2.703094e+07 9.932777e+02 2.583888e+01 2.660741e+04 5.723010e+04
 Md250 HL+ 2.988089e+01 5.540445e+05 2.254254e+04 1.309407e+07 1.246517e+07 1.544684e+03 3.055836e+01 4.470905e+04 3.865865e+04
 Md251 HL+ 7.603420e+01 1.000000e+10 2.330502e+05 7.831953e+08 8.616267e+09 1.623618e+04 7.648441e+01 1.058612e+05 4.789614e+05
 Md252 HL+ 8.424548e+01 2.642153e+11 4.518857e+05 3.713604e+10 9.117894e+09 2.915962e+05 8.433405e+01 2.058487e+05 5.089266e+05
 Md253 HL+ 4.496825e+02 1.000000e+10 1.196392e+05 2.765836e+12 3.717061e+08 1.899764e+06 4.518802e+02 7.744067e+05 1.571755e+06
 Mt262 HL+ 8.398742e-01 6.062970e+01 4.547348e+01 6.808375e+02 9.712156e+03 6.676956e+00 1.003527e+00 5.791913e+02 3.820121e+02
 Mt263 HL+ 1.167055e+00 1.379172e+03 8.604320e+01 1.106673e+03 4.294728e+04 3.732876e+01 1.228731e+00 6.582957e+02 7.004177e+02
 Mt264 HL+ 1.318886e+00 2.738262e+03 8.860486e+01 7.697427e+02 6.741695e+04 5.315003e+01 1.381338e+00 6.929246e+02 9.462200e+02
 Mt265 HL+ 1.730994e+00 1.220856e+04 1.757899e+02 2.739666e+03 1.517938e+05 1.163500e+02 1.781762e+00 9.822927e+02 1.416848e+03
 Mt266 HL+ 1.952248e+00 2.816691e+04 1.993925e+02 1.155074e+03 1.912555e+05 1.601138e+02 2.006043e+00 1.077848e+03 1.559742e+03
